outcome,model_tier,model_type,variable_or_term,effect_measure,estimate,ci_lower,ci_upper,p_value,n_complete,events_or_counts,note
hospitalization,C_lite,ZINB_count_part,Q('TissueDopplerEERatioSeptal'),IRR,1.0274647794368537,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
hospitalization,C_lite,ZINB_count_part,Q('EstimatedSysPAPressure'),IRR,1.0049125644199866,,,,415,781.0,consultation_only_not_final_stage5; ZINB count part only; inflation intercept not interpreted clinically
one_year_mortality,C_full,logistic,C(Q('m/f'))[T.m],OR,0.794898178556342,0.4800336746554028,1.3162891431018455,0.37237835519213214,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,C(Q('AFIB_binary'))[T.1],OR,1.5120460790251835,0.9525367723791831,2.400204812445093,0.07947407440540127,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,C(Q('tricuspid_regurgitation_clin_grouped'))[T.None_Trace_Mild],OR,1.1830742541273591,0.7475051568861113,1.8724482070593365,0.4729555265302138,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Moderate_or_Severe],OR,1.3575227376230306,0.8285790399189734,2.224130583056676,0.22494947942845134,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,C(Q('LACavitySize'))[T.Normal],OR,1.4025993910613745,0.6227053671342979,3.15925501149801,0.41413256273428856,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,Q('AgeAtFirstHFDate'),OR,1.0412266491992457,1.0191751044644697,1.0637553156995159,0.000216349514421123,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,Q('albumin-numeric result'),OR,0.3842134602649086,0.24452264034680046,0.6037068094773093,3.3406472520662204e-05,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,Q('creatinine-numeric result'),OR,0.841070241713622,0.7383922677204245,0.9580262177989805,0.009173824871390726,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,Q('LV_EF'),OR,0.9710108116534742,0.9558418137215958,0.9864205382236629,0.0002502642907873183,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,Q('TissueDopplerEERatioSeptal'),OR,1.0082864430674612,0.9833187618813787,1.0338880846008647,0.5188852170923408,391,163.0,consultation_only_not_final_stage5
one_year_mortality,C_full,logistic,Q('EstimatedSysPAPressure'),OR,0.9937552286445392,0.9771191494506773,1.0106745477391852,0.4670562945764073,391,163.0,consultation_only_not_final_stage5
