outcome,model_name,tier,term,estimate_log,se_log,IRR,ci_lower,ci_upper,p_value,cohort_label
hospitalization,negative_binomial,C_full_exploratory,creatinine-numeric result,-0.05292122904466686,,0.9484547202242617,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,AFIB_binary,0.09633547447802587,,1.1011284025147643,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LV_EF,-0.002060415556926697,,0.9979417056421063,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,TissueDopplerEERatioSeptal,0.03541592101224382,,1.0360505343857032,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,EstimatedSysPAPressure,-0.0019151206142150924,,0.9980867120591516,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,m/f_m,0.24100291931097104,,1.2725247501982708,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Moderately dilated,-0.16218327087972906,,0.8502853577140478,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Normal,0.29474311084129884,,1.3427813683999938,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,LACavitySize_Severely dilated,-0.44611407418144033,,0.6401107477870491,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Mild-to-mod,0.04672226824237543,,1.0478309527315355,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Moderate-to-Severe,0.2819504859022632,,1.3257130768748164,,,,full_cohort_primary
hospitalization,negative_binomial,C_full_exploratory,tricuspid_regurgitation_clin_grouped_Trivial,-0.16270583541179903,,0.8498411448190284,,,,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,const,-1.9301205758153448,0.9247297341430673,0.14513069817632385,0.023692639356950478,0.8890068867303373,0.036867648563903455,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,AgeAtFirstHFDate,0.021197564287932773,0.007379245927324237,1.021423828576284,1.0067569682653326,1.036304361896871,0.004071192635668908,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,albumin-numeric result,-0.0763769195583231,0.1488394432513148,0.9264669372315146,0.6920464313208667,1.2402939267310145,0.6078465897815897,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,creatinine-numeric result,-0.05292122904466746,0.04336869453256428,0.9484547202242611,0.8711650107274399,1.032601568289027,0.22236505357707959,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,AFIB_binary,0.09633547447801907,0.15018134834122954,1.101128402514757,0.8203534719340076,1.478001617968696,0.5212232264639032,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,LV_EF,-0.0020604155569273804,0.005465963270984733,0.9979417056421056,0.9873075339143027,1.0086904167656408,0.7062079481392292,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,TissueDopplerEERatioSeptal,0.03541592101224324,0.009118729246369297,1.0360505343857025,1.0176979976503633,1.0547340294263539,0.00010280865049727694,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,EstimatedSysPAPressure,-0.0019151206142153064,0.006197893341669859,0.9980867120591513,0.9860354303927479,1.0102852839600904,0.7573250159309677,full_cohort_primary
hospitalization,poisson_robust,C_full_exploratory,m/f_m,0.2410029193109667,0.1716786894415067,1.2725247501982653,0.9089298940881079,1.7815667087193279,0.16037776323266062,full_cohort_primary
